Файлы с максимумом в m=0 (всего: 369)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек   
124  gem_glass64_J-52_3.dat  key=-76.0  Fr=18.0    N=17
125  gem_glass64_J-52_6.dat  key=-80.0  Fr=16.0    N=11
126  gem_glass64_J-54_3.dat  key=-84.0  Fr=14.0    N=3
127  gem_glass64_J-54_4.dat  key=-80.0  Fr=16.0    N=13
128  gem_glass64_J-54_7.dat  key=-82.0  Fr=15.0    N=5
129  gem_glass64_J-56_3.dat  key=-84.0  Fr=14.0    N=5
130  gem_glass64_J-56_5.dat  key=-86.0  Fr=13.0    N=7
131  gem_glass64_J-56_7.dat  key=-86.0  Fr=13.0    N=7
132  gem_glass64_J-58_0.dat  key=-86.0  Fr=13.0    N=9
133  gem_glass64_J-58_3.dat  key=-80.0  Fr=16.0    N=7
134  gem_glass64_J-58_6.dat  key=-80.0  Fr=16.0    N=17
135  gem_glass64_J-58_7.dat  key=-84.0  Fr=14.0    N=5
136  gem_glass64_J-58_9.dat  key=-84.0  Fr=14.0    N=9
137  gem_glass64_J-60_1.dat  key=-84.0  Fr=14.0    N=7
138  gem_glass64_J-60_2.dat  key=-84.0  Fr=14.0    N=11
139  gem_glass64_J-60_5.dat  key=-84.0  Fr=14.0    N=9
140  gem_glass64_J-60_6.dat  key=-76.0  Fr=18.0    N=13
141  gem_glass64_J-60_9.dat  key=-82.0  Fr=15.0    N=13
142  gem_glass64_J-62_1.dat  key=-86.0  Fr=13.0    N=7
143  gem_glass64_J-62_3.dat  key=-86.0  Fr=13.0    N=7
144  gem_glass64_J-62_5.dat  key=-86.0  Fr=13.0    N=11
145  gem_glass64_J-62_6.dat  key=-86.0  Fr=13.0    N=11
146  gem_glass64_J-62_9.dat  key=-78.0  Fr=17.0    N=9
147  gem_glass64_J-64_0.dat  key=-86.0  Fr=13.0    N=5
148  gem_glass64_J-64_1.dat  key=-86.0  Fr=13.0    N=5
149  gem_glass64_J-64_2.dat  key=-86.0  Fr=13.0    N=7
150  gem_glass64_J-64_4.dat  key=-80.0  Fr=16.0    N=7
151  gem_glass64_J-64_5.dat  key=-82.0  Fr=15.0    N=11
152  gem_glass64_J-64_7.dat  key=-82.0  Fr=15.0    N=5
153  gem_glass64_J-64_8.dat  key=-76.0  Fr=18.0    N=13
154  gem_glass64_J-64_9.dat  key=-88.0  Fr=12.0    N=5
155  gem_glass64_J-66_0.dat  key=-82.0  Fr=15.0    N=13
156  gem_glass64_J-66_1.dat  key=-82.0  Fr=15.0    N=7
157  gem_glass64_J-66_2.dat  key=-84.0  Fr=14.0    N=5
158  gem_glass64_J-66_3.dat  key=-84.0  Fr=14.0    N=11
159  gem_glass64_J-66_5.dat  key=-84.0  Fr=14.0    N=5
160  gem_glass64_J-66_6.dat  key=-86.0  Fr=13.0    N=5
161  gem_glass64_J-68_0.dat  key=-80.0  Fr=16.0    N=7
162  gem_glass64_J-68_1.dat  key=-80.0  Fr=16.0    N=9
163  gem_glass64_J-68_6.dat  key=-86.0  Fr=13.0    N=11
164  gem_glass64_J-6_7.dat  key=-84.0  Fr=14.0    N=11
165  gem_glass64_J-6_8.dat  key=-80.0  Fr=16.0    N=11
166  gem_glass64_J-6_9.dat  key=-80.0  Fr=16.0    N=7
167  gem_glass64_J-70_0.dat  key=-82.0  Fr=15.0    N=5
168  gem_glass64_J-70_1.dat  key=-84.0  Fr=14.0    N=9
169  gem_glass64_J-70_2.dat  key=-82.0  Fr=15.0    N=9
170  gem_glass64_J-70_3.dat  key=-86.0  Fr=13.0    N=7
171  gem_glass64_J-70_4.dat  key=-88.0  Fr=12.0    N=7
172  gem_glass64_J-70_5.dat  key=-82.0  Fr=15.0    N=11
173  gem_glass64_J-70_9.dat  key=-82.0  Fr=15.0    N=11
174  gem_glass64_J-72_0.dat  key=-86.0  Fr=13.0    N=5
175  gem_glass64_J-72_1.dat  key=-84.0  Fr=14.0    N=9
176  gem_glass64_J-72_2.dat  key=-80.0  Fr=16.0    N=7
177  gem_glass64_J-72_3.dat  key=-84.0  Fr=14.0    N=5
178  gem_glass64_J-72_5.dat  key=-86.0  Fr=13.0    N=7
179  gem_glass64_J-72_7.dat  key=-84.0  Fr=14.0    N=9
180  gem_glass64_J-72_8.dat  key=-90.0  Fr=11.0    N=7
181  gem_glass64_J-72_9.dat  key=-82.0  Fr=15.0    N=11
182  gem_glass64_J-74_0.dat  key=-86.0  Fr=13.0    N=11
183  gem_glass64_J-74_1.dat  key=-80.0  Fr=16.0    N=13
184  gem_glass64_J-74_6.dat  key=-84.0  Fr=14.0    N=11
185  gem_glass64_J-74_7.dat  key=-88.0  Fr=12.0    N=3
186  gem_glass64_J-74_8.dat  key=-84.0  Fr=14.0    N=5
187  gem_glass64_J-76_1.dat  key=-82.0  Fr=15.0    N=7
188  gem_glass64_J-76_2.dat  key=-88.0  Fr=12.0    N=5
189  gem_glass64_J-76_3.dat  key=-88.0  Fr=12.0    N=3
190  gem_glass64_J-78_0.dat  key=-86.0  Fr=13.0    N=9
191  gem_glass64_J-78_3.dat  key=-84.0  Fr=14.0    N=9
192  gem_glass64_J-78_4.dat  key=-86.0  Fr=13.0    N=7
193  gem_glass64_J-78_5.dat  key=-82.0  Fr=15.0    N=9
194  gem_glass64_J-78_6.dat  key=-90.0  Fr=11.0    N=5
195  gem_glass64_J-78_7.dat  key=-86.0  Fr=13.0    N=7
196  gem_glass64_J-78_9.dat  key=-92.0  Fr=10.0    N=3
197  gem_glass64_J-80_0.dat  key=-90.0  Fr=11.0    N=5
198  gem_glass64_J-80_1.dat  key=-86.0  Fr=13.0    N=9
199  gem_glass64_J-80_3.dat  key=-86.0  Fr=13.0    N=11
200  gem_glass64_J-80_4.dat  key=-90.0  Fr=11.0    N=9
201  gem_glass64_J-80_5.dat  key=-90.0  Fr=11.0    N=9
202  gem_glass64_J-80_8.dat  key=-88.0  Fr=12.0    N=5
203  gem_glass64_J-80_9.dat  key=-90.0  Fr=11.0    N=5
204  gem_glass64_J-82_0.dat  key=-84.0  Fr=14.0    N=9
205  gem_glass64_J-82_1.dat  key=-88.0  Fr=12.0    N=7
206  gem_glass64_J-82_4.dat  key=-86.0  Fr=13.0    N=5
207  gem_glass64_J-82_6.dat  key=-86.0  Fr=13.0    N=5
208  gem_glass64_J-82_7.dat  key=-90.0  Fr=11.0    N=5
209  gem_glass64_J-82_8.dat  key=-88.0  Fr=12.0    N=5
210  gem_glass64_J-82_9.dat  key=-88.0  Fr=12.0    N=5
211  gem_glass64_J-84_1.dat  key=-88.0  Fr=12.0    N=3
212  gem_glass64_J-84_2.dat  key=-88.0  Fr=12.0    N=5
213  gem_glass64_J-84_4.dat  key=-90.0  Fr=11.0    N=5
214  gem_glass64_J-84_5.dat  key=-90.0  Fr=11.0    N=9
215  gem_glass64_J-84_6.dat  key=-90.0  Fr=11.0    N=7
216  gem_glass64_J-84_8.dat  key=-88.0  Fr=12.0    N=7
217  gem_glass64_J-86_0.dat  key=-96.0  Fr=8.0     N=7
218  gem_glass64_J-86_2.dat  key=-90.0  Fr=11.0    N=3
219  gem_glass64_J-86_3.dat  key=-90.0  Fr=11.0    N=5
220  gem_glass64_J-86_5.dat  key=-86.0  Fr=13.0    N=9
221  gem_glass64_J-86_6.dat  key=-90.0  Fr=11.0    N=9
222  gem_glass64_J-86_9.dat  key=-90.0  Fr=11.0    N=5
223  gem_glass64_J-88_0.dat  key=-90.0  Fr=11.0    N=7
224  gem_glass64_J-88_1.dat  key=-94.0  Fr=9.0     N=3
225  gem_glass64_J-88_2.dat  key=-90.0  Fr=11.0    N=5
226  gem_glass64_J-88_3.dat  key=-88.0  Fr=12.0    N=7
227  gem_glass64_J-88_4.dat  key=-88.0  Fr=12.0    N=7
228  gem_glass64_J-88_5.dat  key=-90.0  Fr=11.0    N=5
229  gem_glass64_J-88_7.dat  key=-88.0  Fr=12.0    N=5
