название; max C; T(maxC); max Xi; T(maxXi); G; f
term_gem_glass64_J-90_8_H0.0.dat;0.555721182;1.634328816;138.8888889;0.0001;12;8
term_gem_glass64_J-92_3_H0.0.dat;0.590183779;1.586263447;295.1388889;0.0001;12;8
term_gem_glass64_J-96_5_H0.0.dat;0.561298634;1.650672104;138.8888889;0.0001;12;8
term_gem_glass64_J-96_9_H0.0.dat;0.557313695;1.734872971;295.1388889;0.0001;12;8
term_gem_glass64_J96_8_H0.0.dat;0.538256398;1.769743917;572.9166667;0.0001;12;8
term_gem_glass64_J90_3_H0.0.dat;0.563068837;1.7522217;2653.061224;0.0001;14;8
term_gem_glass64_J-94_9_H0.0.dat;0.593214142;1.650672104;156.25;0.0001;16;8
term_gem_glass64_J-96_3_H0.0.dat;0.573051205;1.650672104;273.4375;0.0001;16;8
term_gem_glass64_J96_2_H0.0.dat;0.571192249;1.769743917;1718.75;0.0001;16;8
term_gem_glass64_J94_7_H0.0.dat;0.578032876;1.700689119;1066.666667;0.0001;30;8
term_gem_glass64_J86_6_H0.0.dat;0.570163882;1.700689119;898.4375;0.0001;32;8
term_gem_glass64_J88_0_H0.0.dat;0.577261683;1.769743917;1319.252078;0.0001;38;8
term_gem_glass64_J-94_4_H0.0.dat;0.56427121;1.769743917;273.4375;0.0001;48;8
term_gem_glass64_J-86_4_H0.0.dat;0.530040732;1.586263447;0.064378509;1.935542859;2;9
term_gem_glass64_J-94_0_H0.0.dat;0.515792262;1.509275241;0.055838656;2.338346652;2;9
term_gem_glass64_J-92_2_H0.0.dat;0.521940707;1.634328816;156.25;0.0001;4;9
term_gem_glass64_J-94_6_H0.0.dat;0.544898096;1.42180555;156.25;0.0001;4;9
term_gem_glass64_J88_9_H0.0.dat;0.57473573;1.42180555;156.25;0.0001;4;9
term_gem_glass64_J90_7_H0.0.dat;0.52864471;1.618147342;156.25;0.0001;4;9
term_gem_glass64_J92_2_H0.0.dat;0.52698736;1.586263447;2500;0.0001;4;9
term_gem_glass64_J92_9_H0.0.dat;0.551108943;1.494331922;625;0.0001;4;9
term_gem_glass64_J94_8_H0.0.dat;0.530275274;1.524367994;625;0.0001;4;9
term_gem_glass64_J-88_1_H0.0.dat;0.526969971;1.586263447;138.8888889;0.0001;6;9
term_gem_glass64_J-90_5_H0.0.dat;0.500968554;1.700689119;156.25;0.0001;8;9
term_gem_glass64_J-92_9_H0.0.dat;0.545398547;1.602126082;312.5;0.0001;8;9
term_gem_glass64_J92_5_H0.0.dat;0.53156217;1.634328816;312.5;0.0001;8;9
term_gem_glass64_J92_6_H0.0.dat;0.54050198;1.602126082;781.25;0.0001;8;9
term_gem_glass64_J92_8_H0.0.dat;0.5339417;1.586263447;312.5;0.0001;8;9
term_gem_glass64_J94_0_H0.0.dat;0.517922979;1.524367994;781.25;0.0001;8;9
term_gem_glass64_J-92_1_H0.0.dat;0.559245936;1.602126082;138.8888889;0.0001;12;9
term_gem_glass64_J82_6_H0.0.dat;0.5364302;1.555007791;572.9166667;0.0001;12;9
term_gem_glass64_J84_9_H0.0.dat;0.51067907;1.700689119;14974.4898;0.0001;14;9
term_gem_glass64_J-90_9_H0.0.dat;0.526714763;1.683850613;273.4375;0.0001;16;9
term_gem_glass64_J74_6_H0.0.dat;0.520038668;1.618147342;937.5;0.0001;16;9
term_gem_glass64_J90_0_H0.0.dat;0.539255529;1.586263447;468.75;0.0001;16;9
term_gem_glass64_J90_8_H0.0.dat;0.52312132;1.509275241;468.75;0.0001;16;9
term_gem_glass64_J94_6_H0.0.dat;0.574001369;1.570557868;1718.75;0.0001;16;9
term_gem_glass64_J88_4_H0.0.dat;0.513372872;1.634328816;10433.8843;0.0001;22;9
term_gem_glass64_J-94_3_H0.0.dat;0.538954225;1.570557868;243.0555556;0.0001;24;9
term_gem_glass64_J92_7_H0.0.dat;0.528259295;1.717696011;1909.722222;0.0001;24;9
term_gem_glass64_J94_4_H0.0.dat;0.556453807;1.570557868;920.1388889;0.0001;24;9
term_gem_glass64_J94_3_H0.0.dat;0.5522025;1.618147342;69534.02367;0.0001;26;9
term_gem_glass64_J-92_8_H0.0.dat;0.525272402;1.80531577;156.25;0.0001;60;9
term_gem_glass64_J-94_1_H0.0.dat;0.536153059;1.734872971;431.25;0.0001;80;9
term_gem_glass64_J-82_2_H0.0.dat;0.464342283;1.524367994;0.070436597;0.983896408;2;10
term_gem_glass64_J68_5_H0.0.dat;0.493665462;1.509275241;3.057561328;0.752094275;2;10
term_gem_glass64_J-54_5_H0.0.dat;0.511091354;1.539611674;156.25;0.0001;4;10
term_gem_glass64_J-74_5_H0.0.dat;0.495969959;1.479536557;156.25;0.0001;4;10
term_gem_glass64_J-78_2_H0.0.dat;0.491826438;1.618147342;0.107934136;0.830779977;4;10
term_gem_glass64_J-90_1_H0.0.dat;0.481334085;1.555007791;156.25;0.0001;4;10
term_gem_glass64_J60_0_H0.0.dat;0.474397218;1.586263447;156.25;0.0001;4;10
term_gem_glass64_J80_3_H0.0.dat;0.493358379;1.602126082;156.25;0.0001;4;10
term_gem_glass64_J86_7_H0.0.dat;0.479876106;1.618147342;156.25;0.0001;4;10
term_gem_glass64_J80_8_H0.0.dat;0.47290628;1.602126082;416.6666667;0.0001;6;10
term_gem_glass64_J88_8_H0.0.dat;0.481925147;1.667178825;138.8888889;0.0001;6;10
term_gem_glass64_J-78_9_H0.0.dat;0.530178974;1.570557868;156.25;0.0001;8;10
term_gem_glass64_J-82_3_H0.0.dat;0.493202054;1.586263447;312.5;0.0001;8;10
term_gem_glass64_J-82_5_H0.0.dat;0.467543111;1.586263447;781.25;0.0001;8;10
term_gem_glass64_J84_0_H0.0.dat;0.512542649;1.539611674;781.25;0.0001;8;10
term_gem_glass64_J-70_6_H0.0.dat;0.49297471;1.650672104;250;0.0001;10;10
term_gem_glass64_J-58_4_H0.0.dat;0.51414873;1.555007791;295.1388889;0.0001;12;10
term_gem_glass64_J-86_1_H0.0.dat;0.479332089;1.683850613;156.25;0.0001;12;10
term_gem_glass64_J76_4_H0.0.dat;0.517859568;1.509275241;1128.472222;0.0001;12;10
term_gem_glass64_J82_7_H0.0.dat;0.48084305;1.555007791;295.1388889;0.0001;12;10
term_gem_glass64_J90_5_H0.0.dat;0.484007344;1.602126082;572.9166667;0.0001;12;10
term_gem_glass64_J-78_1_H0.0.dat;0.491577604;1.667178825;468.75;0.0001;16;10
term_gem_glass64_J-80_7_H0.0.dat;0.542877068;1.479536557;312.5;0.0001;16;10
term_gem_glass64_J88_6_H0.0.dat;0.496398939;1.618147342;468.75;0.0001;16;10
term_gem_glass64_J-90_3_H0.0.dat;0.497931762;1.602126082;277.7777778;0.0001;18;10
term_gem_glass64_J-90_4_H0.0.dat;0.501055912;1.618147342;277.7777778;0.0001;18;10
term_gem_glass64_J-50_7_H0.0.dat;0.482737836;1.734872971;847.107438;0.0001;22;10
term_gem_glass64_J84_2_H0.0.dat;0.509493741;1.618147342;6197.916667;0.0001;24;10
term_gem_glass64_J84_6_H0.0.dat;0.499667765;1.539611674;25555.55556;0.0001;24;10
term_gem_glass64_J-84_3_H0.0.dat;0.512441554;1.509275241;250;0.0001;30;10
term_gem_glass64_J92_4_H0.0.dat;0.549753349;1.479536557;625;0.0001;32;10
term_gem_glass64_J84_7_H0.0.dat;0.510649514;1.618147342;3418.209877;0.0001;36;10
term_gem_glass64_J86_5_H0.0.dat;0.521262643;1.586263447;989.5833333;0.0001;36;10
term_gem_glass64_J56_1_H0.0.dat;0.509353511;1.618147342;1164.965986;0.0001;42;10
term_gem_glass64_J-92_6_H0.0.dat;0.498084162;1.700689119;249.2252066;0.0001;44;10
term_gem_glass64_J88_7_H0.0.dat;0.506654835;1.602126082;63159.72222;0.0001;48;10
term_gem_glass64_J-90_6_H0.0.dat;0.501268873;1.634328816;267.1967456;0.0001;52;10
term_gem_glass64_J80_5_H0.0.dat;0.50481177;1.618147342;25592.64053;0.0001;52;10
term_gem_glass64_J-92_7_H0.0.dat;0.506231076;1.602126082;216.8367347;0.0001;56;10
term_gem_glass64_J90_2_H0.0.dat;0.523598044;1.667178825;1114.969136;0.0001;72;10
term_gem_glass64_J90_9_H0.0.dat;0.510815907;1.683850613;36377.69743;0.0001;264;10
term_gem_glass64_J-68_8_H0.0.dat;0.475021948;1.407728267;0.088905513;0.647816009;2;11
term_gem_glass64_J-86_8_H0.0.dat;0.514219804;1.407728267;156.25;0.0001;4;11
term_gem_glass64_J50_6_H0.0.dat;0.494507359;1.352799195;156.25;0.0001;4;11
term_gem_glass64_J54_8_H0.0.dat;0.458454807;1.339405144;156.25;0.0001;4;11
term_gem_glass64_J74_9_H0.0.dat;0.468608305;1.700689119;156.25;0.0001;4;11
term_gem_glass64_J80_6_H0.0.dat;0.432745454;1.570557868;625;0.0001;4;11
term_gem_glass64_J70_1_H0.0.dat;0.459151095;1.524367994;416.6666667;0.0001;6;11
term_gem_glass64_J-60_3_H0.0.dat;0.453941221;1.539611674;312.5;0.0001;8;11
term_gem_glass64_J-8_1_H0.0.dat;0.484380934;1.42180555;156.25;0.0001;8;11
term_gem_glass64_J10_4_H0.0.dat;0.494584167;1.407728267;312.5;0.0001;8;11
term_gem_glass64_J42_2_H0.0.dat;0.485073166;1.46488768;156.25;0.0001;8;11
term_gem_glass64_J80_9_H0.0.dat;0.478291335;1.509275241;156.25;0.0001;8;11
term_gem_glass64_J-82_7_H0.0.dat;0.490667137;1.524367994;295.1388889;0.0001;12;11
term_gem_glass64_J-86_2_H0.0.dat;0.466965471;1.634328816;156.25;0.0001;12;11
term_gem_glass64_J72_4_H0.0.dat;0.515785524;1.366327187;763.8888889;0.0001;12;11
term_gem_glass64_J90_1_H0.0.dat;0.49726652;1.46488768;572.9166667;0.0001;12;11
term_gem_glass64_J62_0_H0.0.dat;0.461634978;1.524367994;1718.75;0.0001;16;11
term_gem_glass64_J76_2_H0.0.dat;0.469369484;1.539611674;1820.987654;0.0001;18;11
term_gem_glass64_J-86_3_H0.0.dat;0.467774512;1.539611674;306.25;0.0001;20;11
term_gem_glass64_J-90_0_H0.0.dat;0.476390738;1.602126082;506.25;0.0001;20;11
