Файлы с максимумом НЕ в m=0 (всего: 637)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек    m(max)    
106  gem_glass64_J-46_9.dat  key=-86.0  Fr=13.0    N=8       m=-10.000
107  gem_glass64_J-48_0.dat  key=-86.0  Fr=13.0    N=7       m=-2.000
108  gem_glass64_J-48_3.dat  key=-82.0  Fr=15.0    N=9       m=-2.000
109  gem_glass64_J-48_5.dat  key=-82.0  Fr=15.0    N=9       m=-2.000
110  gem_glass64_J-48_6.dat  key=-84.0  Fr=14.0    N=11      m=-4.000
111  gem_glass64_J-48_7.dat  key=-84.0  Fr=14.0    N=6       m=-4.000
112  gem_glass64_J-48_8.dat  key=-84.0  Fr=14.0    N=7       m=-2.000
113  gem_glass64_J-48_9.dat  key=-84.0  Fr=14.0    N=11      m=-6.000
114  gem_glass64_J-4_0.dat  key=-80.0  Fr=16.0    N=21      m=-8.000
115  gem_glass64_J-4_1.dat  key=-76.0  Fr=18.0    N=17      m=-2.000
116  gem_glass64_J-4_2.dat  key=-82.0  Fr=15.0    N=11      m=-6.000
117  gem_glass64_J-4_3.dat  key=-76.0  Fr=18.0    N=13      m=-2.000
118  gem_glass64_J-4_5.dat  key=-80.0  Fr=16.0    N=19      m=-4.000
119  gem_glass64_J-4_7.dat  key=-80.0  Fr=16.0    N=21      m=-6.000
120  gem_glass64_J-50_3.dat  key=-78.0  Fr=17.0    N=15      m=-6.000
121  gem_glass64_J-50_5.dat  key=-86.0  Fr=13.0    N=10      m=-6.000
122  gem_glass64_J-50_6.dat  key=-82.0  Fr=15.0    N=9       m=-4.000
123  gem_glass64_J-50_7.dat  key=-92.0  Fr=10.0    N=7       m=-4.000
124  gem_glass64_J-50_8.dat  key=-86.0  Fr=13.0    N=4       m=-6.000
125  gem_glass64_J-50_9.dat  key=-84.0  Fr=14.0    N=7       m=-2.000
126  gem_glass64_J-52_0.dat  key=-82.0  Fr=15.0    N=13      m=-6.000
127  gem_glass64_J-52_4.dat  key=-88.0  Fr=12.0    N=4       m=-8.000
128  gem_glass64_J-52_5.dat  key=-80.0  Fr=16.0    N=10      m=-10.000
129  gem_glass64_J-52_7.dat  key=-86.0  Fr=13.0    N=6       m=-4.000
130  gem_glass64_J-52_8.dat  key=-82.0  Fr=15.0    N=6       m=-6.000
131  gem_glass64_J-52_9.dat  key=-82.0  Fr=15.0    N=7       m=-2.000
132  gem_glass64_J-54_0.dat  key=-84.0  Fr=14.0    N=16      m=-12.000
133  gem_glass64_J-54_1.dat  key=-84.0  Fr=14.0    N=11      m=-4.000
134  gem_glass64_J-54_2.dat  key=-90.0  Fr=11.0    N=10      m=-6.000
135  gem_glass64_J-54_5.dat  key=-92.0  Fr=10.0    N=4       m=-10.000
136  gem_glass64_J-54_6.dat  key=-82.0  Fr=15.0    N=7       m=-2.000
137  gem_glass64_J-54_8.dat  key=-82.0  Fr=15.0    N=13      m=-8.000
138  gem_glass64_J-54_9.dat  key=-80.0  Fr=16.0    N=7       m=-2.000
139  gem_glass64_J-56_0.dat  key=-84.0  Fr=14.0    N=5       m=-2.000
140  gem_glass64_J-56_1.dat  key=-82.0  Fr=15.0    N=15      m=-4.000
141  gem_glass64_J-56_2.dat  key=-84.0  Fr=14.0    N=11      m=-6.000
142  gem_glass64_J-56_4.dat  key=-84.0  Fr=14.0    N=9       m=-2.000
143  gem_glass64_J-56_6.dat  key=-84.0  Fr=14.0    N=9       m=-2.000
144  gem_glass64_J-56_8.dat  key=-80.0  Fr=16.0    N=13      m=-4.000
145  gem_glass64_J-56_9.dat  key=-88.0  Fr=12.0    N=8       m=-4.000
146  gem_glass64_J-58_1.dat  key=-82.0  Fr=15.0    N=13      m=-4.000
147  gem_glass64_J-58_2.dat  key=-84.0  Fr=14.0    N=5       m=-2.000
148  gem_glass64_J-58_4.dat  key=-92.0  Fr=10.0    N=5       m=-2.000
149  gem_glass64_J-58_8.dat  key=-78.0  Fr=17.0    N=13      m=-4.000
150  gem_glass64_J-60_0.dat  key=-82.0  Fr=15.0    N=13      m=-4.000
151  gem_glass64_J-60_3.dat  key=-90.0  Fr=11.0    N=6       m=-10.000
152  gem_glass64_J-60_4.dat  key=-88.0  Fr=12.0    N=6       m=-4.000
153  gem_glass64_J-60_7.dat  key=-82.0  Fr=15.0    N=11      m=-2.000
154  gem_glass64_J-60_8.dat  key=-88.0  Fr=12.0    N=7       m=-4.000
155  gem_glass64_J-62_0.dat  key=-86.0  Fr=13.0    N=11      m=-4.000
156  gem_glass64_J-62_2.dat  key=-88.0  Fr=12.0    N=4       m=-6.000
157  gem_glass64_J-62_4.dat  key=-82.0  Fr=15.0    N=7       m=-4.000
158  gem_glass64_J-62_7.dat  key=-82.0  Fr=15.0    N=11      m=-4.000
159  gem_glass64_J-62_8.dat  key=-86.0  Fr=13.0    N=9       m=-2.000
160  gem_glass64_J-64_3.dat  key=-84.0  Fr=14.0    N=10      m=-4.000
161  gem_glass64_J-64_6.dat  key=-84.0  Fr=14.0    N=8       m=-4.000
162  gem_glass64_J-66_4.dat  key=-84.0  Fr=14.0    N=11      m=-6.000
163  gem_glass64_J-66_7.dat  key=-84.0  Fr=14.0    N=8       m=-6.000
164  gem_glass64_J-66_9.dat  key=-86.0  Fr=13.0    N=5       m=-2.000
165  gem_glass64_J-68_2.dat  key=-80.0  Fr=16.0    N=13      m=-6.000
166  gem_glass64_J-68_3.dat  key=-82.0  Fr=15.0    N=7       m=-2.000
167  gem_glass64_J-68_4.dat  key=-88.0  Fr=12.0    N=4       m=-6.000
168  gem_glass64_J-68_5.dat  key=-84.0  Fr=14.0    N=11      m=-2.000
169  gem_glass64_J-68_7.dat  key=-88.0  Fr=12.0    N=10      m=-6.000
170  gem_glass64_J-68_9.dat  key=-82.0  Fr=15.0    N=13      m=-6.000
171  gem_glass64_J-6_0.dat  key=-76.0  Fr=18.0    N=9       m=-4.000
172  gem_glass64_J-6_1.dat  key=-76.0  Fr=18.0    N=23      m=-10.000
173  gem_glass64_J-6_2.dat  key=-86.0  Fr=13.0    N=8       m=-8.000
174  gem_glass64_J-6_3.dat  key=-86.0  Fr=13.0    N=15      m=-10.000
175  gem_glass64_J-6_4.dat  key=-78.0  Fr=17.0    N=13      m=-6.000
176  gem_glass64_J-6_6.dat  key=-80.0  Fr=16.0    N=7       m=-4.000
177  gem_glass64_J-70_6.dat  key=-92.0  Fr=10.0    N=5       m=-2.000
178  gem_glass64_J-70_7.dat  key=-86.0  Fr=13.0    N=3       m=-2.000
179  gem_glass64_J-70_8.dat  key=-86.0  Fr=13.0    N=7       m=-2.000
180  gem_glass64_J-72_4.dat  key=-86.0  Fr=13.0    N=7       m=-2.000
181  gem_glass64_J-72_6.dat  key=-86.0  Fr=13.0    N=5       m=-2.000
182  gem_glass64_J-74_2.dat  key=-86.0  Fr=13.0    N=7       m=-4.000
183  gem_glass64_J-74_3.dat  key=-84.0  Fr=14.0    N=10      m=-6.000
184  gem_glass64_J-74_4.dat  key=-86.0  Fr=13.0    N=11      m=-4.000
185  gem_glass64_J-74_5.dat  key=-92.0  Fr=10.0    N=4       m=-6.000
186  gem_glass64_J-74_9.dat  key=-88.0  Fr=12.0    N=7       m=-4.000
187  gem_glass64_J-76_0.dat  key=-88.0  Fr=12.0    N=4       m=-4.000
188  gem_glass64_J-76_4.dat  key=-84.0  Fr=14.0    N=7       m=-2.000
189  gem_glass64_J-76_5.dat  key=-86.0  Fr=13.0    N=6       m=-6.000
190  gem_glass64_J-76_6.dat  key=-84.0  Fr=14.0    N=11      m=-4.000
191  gem_glass64_J-76_7.dat  key=-96.0  Fr=8.0     N=6       m=-4.000
192  gem_glass64_J-76_8.dat  key=-86.0  Fr=13.0    N=9       m=-4.000
193  gem_glass64_J-76_9.dat  key=-84.0  Fr=14.0    N=7       m=-4.000
194  gem_glass64_J-78_1.dat  key=-92.0  Fr=10.0    N=8       m=-6.000
195  gem_glass64_J-78_8.dat  key=-86.0  Fr=13.0    N=5       m=-2.000
196  gem_glass64_J-80_2.dat  key=-90.0  Fr=11.0    N=8       m=-4.000
