#T	E/N	M/N	C/N	Xi/N
2.4701	-0.0140672	0.00118491	0.00843017	0.00141374
2.4801	-0.0139834	0.00118793	0.00832992	0.00141417
2.4901	-0.0139006	0.00119091	0.00823106	0.00141454
2.5001	-0.0138188	0.00119383	0.00813358	0.00141484
2.5101	-0.0137379	0.00119672	0.00803747	0.00141508
2.5201	-0.013658	0.00119955	0.00794275	0.00141525
2.5301	-0.0135791	0.00120235	0.0078494	0.00141536
2.5401	-0.013501	0.0012051	0.00775741	0.00141542
2.5501	-0.0134239	0.00120781	0.00766678	0.00141541
2.5601	-0.0133477	0.00121048	0.00757751	0.00141535
2.5701	-0.0132724	0.00121311	0.00748957	0.00141523
2.5801	-0.0131979	0.00121571	0.00740295	0.00141506
2.5901	-0.0131243	0.00121827	0.00731766	0.00141484
2.6001	-0.0130516	0.00122079	0.00723366	0.00141457
2.6101	-0.0129796	0.00122328	0.00715095	0.00141425
2.6201	-0.0129085	0.00122573	0.00706951	0.00141388
2.6301	-0.0128382	0.00122815	0.00698932	0.00141346
2.6401	-0.0127687	0.00123054	0.00691038	0.001413
2.6501	-0.0127	0.0012329	0.00683266	0.0014125
2.6601	-0.0126321	0.00123523	0.00675615	0.00141196
2.6701	-0.0125649	0.00123752	0.00668082	0.00141137
2.6801	-0.0124985	0.00123979	0.00660667	0.00141074
2.6901	-0.0124328	0.00124203	0.00653367	0.00141007
2.7001	-0.0123678	0.00124424	0.00646181	0.00140937
2.7101	-0.0123035	0.00124642	0.00639107	0.00140863
2.7201	-0.01224	0.00124857	0.00632143	0.00140785
2.7301	-0.0121771	0.0012507	0.00625287	0.00140704
2.7401	-0.0121149	0.00125281	0.00618538	0.00140619
2.7501	-0.0120534	0.00125489	0.00611894	0.00140531
2.7601	-0.0119925	0.00125694	0.00605353	0.0014044
2.7701	-0.0119323	0.00125897	0.00598913	0.00140346
2.7801	-0.0118727	0.00126098	0.00592573	0.00140249
2.7901	-0.0118138	0.00126296	0.0058633	0.00140148
2.8001	-0.0117555	0.00126492	0.00580184	0.00140045
2.8101	-0.0116977	0.00126686	0.00574132	0.00139939
2.8201	-0.0116406	0.00126877	0.00568173	0.00139831
2.8301	-0.0115841	0.00127067	0.00562305	0.00139719
2.8401	-0.0115282	0.00127254	0.00556527	0.00139605
2.8501	-0.0114728	0.0012744	0.00550836	0.00139489
2.8601	-0.011418	0.00127623	0.00545232	0.0013937
2.8701	-0.0113638	0.00127805	0.00539712	0.00139249
2.8801	-0.0113101	0.00127984	0.00534276	0.00139125
2.8901	-0.0112569	0.00128162	0.00528921	0.00138999
2.9001	-0.0112043	0.00128337	0.00523646	0.00138871
2.9101	-0.0111522	0.00128511	0.0051845	0.00138741
2.9201	-0.0111006	0.00128683	0.00513332	0.00138609
2.9301	-0.0110495	0.00128853	0.00508289	0.00138474
2.9401	-0.0109989	0.00129022	0.00503321	0.00138338
2.9501	-0.0109488	0.00129189	0.00498426	0.001382
2.9601	-0.0108992	0.00129354	0.00493602	0.0013806
2.9701	-0.0108501	0.00129517	0.0048885	0.00137918
2.9801	-0.0108015	0.00129679	0.00484166	0.00137775
2.9901	-0.0107533	0.00129839	0.0047955	0.0013763
3.0001	-0.0107055	0.00129998	0.00475001	0.00137483
3.0101	-0.0106583	0.00130155	0.00470517	0.00137334
3.0201	-0.0106114	0.0013031	0.00466097	0.00137184
3.0301	-0.010565	0.00130464	0.00461741	0.00137033
3.0401	-0.0105191	0.00130617	0.00457446	0.0013688
3.0501	-0.0104736	0.00130768	0.00453213	0.00136725
3.0601	-0.0104284	0.00130917	0.00449038	0.0013657
3.0701	-0.0103837	0.00131066	0.00444923	0.00136412
3.0801	-0.0103395	0.00131212	0.00440865	0.00136254
3.0901	-0.0102956	0.00131358	0.00436863	0.00136094
3.1001	-0.0102521	0.00131502	0.00432917	0.00135933
3.1101	-0.010209	0.00131645	0.00429026	0.00135771
3.1201	-0.0101663	0.00131786	0.00425188	0.00135608
3.1301	-0.0101239	0.00131926	0.00421402	0.00135443
3.1401	-0.010082	0.00132065	0.00417668	0.00135278
3.1501	-0.0100404	0.00132202	0.00413985	0.00135111
3.1601	-0.00999919	0.00132339	0.00410352	0.00134943
3.1701	-0.00995834	0.00132474	0.00406767	0.00134775
3.1801	-0.00991784	0.00132607	0.0040323	0.00134605
3.1901	-0.00987769	0.0013274	0.00399741	0.00134435
3.2001	-0.00983789	0.00132872	0.00396298	0.00134263
3.2101	-0.00979843	0.00133002	0.00392901	0.00134091
3.2201	-0.00975931	0.00133131	0.00389548	0.00133918
3.2301	-0.00972052	0.00133259	0.0038624	0.00133744
3.2401	-0.00968206	0.00133386	0.00382974	0.00133569
3.2501	-0.00964392	0.00133511	0.00379751	0.00133393
3.2601	-0.0096061	0.00133636	0.0037657	0.00133217
3.2701	-0.00956861	0.0013376	0.0037343	0.0013304
3.2801	-0.00953142	0.00133882	0.0037033	0.00132862
