8
3905
0
1
17052275768 -52 -20
47258988488 -52 -18
114856872880 -52 -16
247164122368 -52 -14
474483669384 -52 -12
817177970232 -52 -10
1268165160198 -52 -8
1779282435768 -52 -6
2262417575486 -52 -4
2611480608692 -52 -2
2739127154528 -52 0
2611480608692 -52 2
2262417575486 -52 4
1779282435768 -52 6
1268165160198 -52 8
817177970232 -52 10
474483669384 -52 12
247164122368 -52 14
114856872880 -52 16
47258988488 -52 18
17052275768 -52 20
5326256168 -52 22
1414766488 -52 24
311786852 -52 26
54933674 -52 28
7327524 -52 30
658194 -52 32
31340 -52 34
520 -52 36
40 -50 -38
4536 -50 -36
162184 -50 -34
2600632 -50 -32
24641712 -50 -30
166621348 -50 -28
872818984 -50 -26
3729129844 -50 -24
13390878484 -50 -22
41294263480 -50 -20
110987145776 -50 -18
263024162336 -50 -16
554334995568 -50 -14
1046060161608 -50 -12
1776668310364 -50 -10
2726905187172 -50 -8
3793985811504 -50 -6
4795832479636 -50 -4
5516446478344 -50 -2
5779375368480 -50 0
5516446478344 -50 2
4795832479636 -50 4
3793985811504 -50 6
2726905187172 -50 8
1776668310364 -50 10
1046060161608 -50 12
554334995568 -50 14
263024162336 -50 16
110987145776 -50 18
41294263480 -50 20
13390878484 -50 22
3729129844 -50 24
872818984 -50 26
166621348 -50 28
24641712 -50 30
2600632 -50 32
162184 -50 34
4536 -50 36
40 -50 38
488 -48 -38
33812 -48 -36
790068 -48 -34
9638256 -48 -32
78550940 -48 -30
481310364 -48 -28
2352138156 -48 -26
9522963042 -48 -24
32755547564 -48 -22
97496723886 -48 -20
254508674640 -48 -18
588670857684 -48 -16
1215917438600 -48 -14
2256566064938 -48 -12
3780908904340 -48 -10
5740746855744 -48 -8
7921695172660 -48 -6
9955730425532 -48 -4
11412395224784 -48 -2
11942694997398 -48 0
11412395224784 -48 2
9955730425532 -48 4
7921695172660 -48 6
5740746855744 -48 8
3780908904340 -48 10
2256566064938 -48 12
1215917438600 -48 14
588670857684 -48 16
254508674640 -48 18
97496723886 -48 20
32755547564 -48 22
9522963042 -48 24
2352138156 -48 26
481310364 -48 28
78550940 -48 30
9638256 -48 32
790068 -48 34
33812 -48 36
488 -48 38
40 -46 -40
4920 -46 -38
182308 -46 -36
3150956 -46 -34
32440692 -46 -32
236989064 -46 -30
1337527632 -46 -28
6133256052 -46 -26
23605092820 -46 -24
77947614288 -46 -22
224350223712 -46 -20
569549848564 -46 -18
1286921858496 -46 -16
2606750700392 -46 -14
4759908298632 -46 -12
7870184056184 -46 -10
11824188068188 -46 -8
16185476736252 -46 -6
20226556358124 -46 -4
23108088268368 -46 -2
24154895588920 -46 0
23108088268368 -46 2
20226556358124 -46 4
16185476736252 -46 6
11824188068188 -46 8
7870184056184 -46 10
4759908298632 -46 12
2606750700392 -46 14
1286921858496 -46 16
569549848564 -46 18
224350223712 -46 20
77947614288 -46 22
23605092820 -46 24
6133256052 -46 26
1337527632 -46 28
236989064 -46 30
32440692 -46 32
3150956 -46 34
182308 -46 36
4920 -46 38
40 -46 40
456 -44 -40
34800 -44 -38
891144 -44 -36
11826440 -44 -34
103942352 -44 -32
682907672 -44 -30
3571472844 -44 -28
15454165376 -44 -26
56769932146 -44 -24
180416002476 -44 -22
502949230330 -44 -20
1243030385664 -44 -18
2746054571992 -44 -16
5457975758500 -44 -14
9810459373900 -44 -12
16012776664524 -44 -10
23811152033176 -44 -8
32338922477388 -44 -6
40190419867758 -44 -4
45765449722516 -44 -2
47786638091132 -44 0
45765449722516 -44 2
40190419867758 -44 4
32338922477388 -44 6
23811152033176 -44 8
16012776664524 -44 10
9810459373900 -44 12
5457975758500 -44 14
2746054571992 -44 16
1243030385664 -44 18
502949230330 -44 20
180416002476 -44 22
56769932146 -44 24
15454165376 -44 26
3571472844 -44 28
682907672 -44 30
103942352 -44 32
11826440 -44 34
891144 -44 36
34800 -44 38
456 -44 40
40 -42 -42
5060 -42 -40
197504 -42 -38
