#H	log(g(EgsH))	g(EgsH)	EgsH
2.46	1.38629	4	-173.92
2.47	1.38629	4	-174.44
2.48	1.38629	4	-174.96
2.49	1.38629	4	-175.48
2.5	1.38629	4	-176
2.5	1.38629	4	-176
2.51	1.38629	4	-176.52
2.52	1.38629	4	-177.04
2.53	1.38629	4	-177.56
2.54	1.38629	4	-178.08
2.55	1.38629	4	-178.6
2.56	1.38629	4	-179.12
2.57	1.38629	4	-179.64
2.58	1.38629	4	-180.16
2.59	1.38629	4	-180.68
2.6	1.38629	4	-181.2
2.61	1.38629	4	-181.72
2.62	1.38629	4	-182.24
2.63	1.38629	4	-182.76
2.64	1.38629	4	-183.28
2.65	1.38629	4	-183.8
2.66	1.38629	4	-184.32
2.66667	1.38629	4	-184.667
2.67	1.38629	4	-184.84
2.68	1.38629	4	-185.36
2.69	1.38629	4	-185.88
2.7	1.38629	4	-186.4
2.71	1.38629	4	-186.92
2.72	1.38629	4	-187.44
2.73	1.38629	4	-187.96
2.74	1.38629	4	-188.48
2.75	1.38629	4	-189
2.76	1.38629	4	-189.52
2.77	1.38629	4	-190.04
2.78	1.38629	4	-190.56
2.79	1.38629	4	-191.08
2.8	1.38629	4	-191.6
2.81	1.38629	4	-192.12
2.82	1.38629	4	-192.64
2.83	1.38629	4	-193.16
2.84	1.38629	4	-193.68
2.85	1.38629	4	-194.2
2.86	1.38629	4	-194.72
2.87	1.38629	4	-195.24
2.88	1.38629	4	-195.76
2.89	1.38629	4	-196.28
2.9	1.38629	4	-196.8
2.91	1.38629	4	-197.32
2.92	1.38629	4	-197.84
2.93	1.38629	4	-198.36
2.94	1.38629	4	-198.88
2.95	1.38629	4	-199.4
2.96	1.38629	4	-199.92
2.97	1.38629	4	-200.44
2.98	1.38629	4	-200.96
2.99	1.38629	4	-201.48
3	1.79176	6	-202
3	1.79176	6	-202
3	1.79176	6	-202
3.01	0.693147	2	-202.54
3.02	0.693147	2	-203.08
3.03	0.693147	2	-203.62
3.04	0.693147	2	-204.16
3.05	0.693147	2	-204.7
3.06	0.693147	2	-205.24
3.07	0.693147	2	-205.78
3.08	0.693147	2	-206.32
3.09	0.693147	2	-206.86
3.1	0.693147	2	-207.4
3.11	0.693147	2	-207.94
3.12	0.693147	2	-208.48
3.13	0.693147	2	-209.02
3.14	0.693147	2	-209.56
3.15	0.693147	2	-210.1
3.16	0.693147	2	-210.64
3.17	0.693147	2	-211.18
3.18	0.693147	2	-211.72
3.19	0.693147	2	-212.26
3.2	0.693147	2	-212.8
3.21	0.693147	2	-213.34
3.22	0.693147	2	-213.88
3.23	0.693147	2	-214.42
3.24	0.693147	2	-214.96
3.25	0.693147	2	-215.5
3.26	0.693147	2	-216.04
3.27	0.693147	2	-216.58
3.28	0.693147	2	-217.12
3.29	0.693147	2	-217.66
3.3	0.693147	2	-218.2
3.31	0.693147	2	-218.74
3.32	0.693147	2	-219.28
3.33	0.693147	2	-219.82
3.34	0.693147	2	-220.36
3.35	0.693147	2	-220.9
3.36	0.693147	2	-221.44
3.37	0.693147	2	-221.98
3.38	0.693147	2	-222.52
3.39	0.693147	2	-223.06
3.4	0.693147	2	-223.6
3.41	0.693147	2	-224.14
3.42	0.693147	2	-224.68
3.43	0.693147	2	-225.22
3.44	0.693147	2	-225.76
3.45	0.693147	2	-226.3
3.46	0.693147	2	-226.84
3.47	0.693147	2	-227.38
3.48	0.693147	2	-227.92
3.49	0.693147	2	-228.46
3.5	0.693147	2	-229
3.5	0.693147	2	-229
3.51	0.693147	2	-229.54
3.52	0.693147	2	-230.08
3.53	0.693147	2	-230.62
3.54	0.693147	2	-231.16
3.55	0.693147	2	-231.7
3.56	0.693147	2	-232.24
3.57	0.693147	2	-232.78
3.58	0.693147	2	-233.32
3.59	0.693147	2	-233.86
3.6	0.693147	2	-234.4
3.61	0.693147	2	-234.94
3.62	0.693147	2	-235.48
3.63	0.693147	2	-236.02
3.64	0.693147	2	-236.56
3.65	0.693147	2	-237.1
3.66	0.693147	2	-237.64
3.67	0.693147	2	-238.18
3.68	0.693147	2	-238.72
