8
4120
0
6
16403595348 -56 14
11463604876 -56 16
7541287831 -56 18
4647417011 -56 20
2668222489 -56 22
1417980077 -56 24
692248327 -56 26
307672781 -56 28
123153601 -56 30
43824428 -56 32
13641566 -56 34
3634921 -56 36
806522 -56 38
142731 -56 40
18762 -56 42
1617 -56 44
63 -56 46
7 -54 -48
454 -54 -46
7265 -54 -44
70309 -54 -42
481608 -54 -40
2553945 -54 -38
11050778 -54 -36
40365376 -54 -34
127493423 -54 -32
354529670 -54 -30
880673294 -54 -28
1977112269 -54 -26
4051321659 -54 -24
7641178479 -54 -22
13359727101 -54 -20
21785122855 -54 -18
33303505896 -54 -16
47942020048 -54 -14
65241317960 -54 -12
84206728718 -54 -10
103371626936 -54 -8
120968550212 -54 -6
135179627839 -54 -4
144426955478 -54 -2
147636197380 -54 0
144426955478 -54 2
135179627839 -54 4
120968550212 -54 6
103371626936 -54 8
84206728718 -54 10
65241317960 -54 12
47942020048 -54 14
33303505896 -54 16
21785122855 -54 18
13359727101 -54 20
7641178479 -54 22
4051321659 -54 24
1977112269 -54 26
880673294 -54 28
354529670 -54 30
127493423 -54 32
40365376 -54 34
11050778 -54 36
2553945 -54 38
481608 -54 40
70309 -54 42
7265 -54 44
454 -54 46
7 -54 48
86 -52 -48
2072 -52 -46
27189 -52 -44
232303 -52 -42
1474081 -52 -40
7453958 -52 -38
31292244 -52 -36
112124229 -52 -34
350027530 -52 -32
967078643 -52 -30
2395370581 -52 -28
5376809327 -52 -26
11037522717 -52 -24
20883870030 -52 -22
36665931325 -52 -20
60079562895 -52 -18
92330580638 -52 -16
133640451624 -52 -14
182833462111 -52 -12
237153697785 -52 -10
292395123699 -52 -8
343384135907 -52 -6
384731209299 -52 -4
411712706567 -52 -2
421090356358 -52 0
411712706567 -52 2
384731209299 -52 4
343384135907 -52 6
292395123699 -52 8
237153697785 -52 10
182833462111 -52 12
133640451624 -52 14
92330580638 -52 16
60079562895 -52 18
36665931325 -52 20
20883870030 -52 22
11037522717 -52 24
5376809327 -52 26
2395370581 -52 28
967078643 -52 30
350027530 -52 32
112124229 -52 34
31292244 -52 36
7453958 -52 38
1474081 -52 40
232303 -52 42
27189 -52 44
2072 -52 46
86 -52 48
8 -50 -50
420 -50 -48
8052 -50 -46
88950 -50 -44
691050 -50 -42
4146010 -50 -40
20231597 -50 -38
83032531 -50 -36
293422261 -50 -34
908835569 -50 -32
2502329204 -50 -30
6195381625 -50 -28
13929602563 -50 -26
28683396883 -50 -24
54492030764 -50 -22
96120846439 -50 -20
158295057167 -50 -18
244531315636 -50 -16
355763430506 -50 -14
489125346362 -50 -12
637318393029 -50 -10
788870273681 -50 -8
929412420038 -50 -6
1043789914592 -50 -4
1118601662825 -50 -2
1144634994562 -50 0
1118601662825 -50 2
1043789914592 -50 4
929412420038 -50 6
788870273681 -50 8
637318393029 -50 10
489125346362 -50 12
355763430506 -50 14
244531315636 -50 16
158295057167 -50 18
96120846439 -50 20
54492030764 -50 22
28683396883 -50 24
13929602563 -50 26
6195381625 -50 28
2502329204 -50 30
908835569 -50 32
293422261 -50 34
83032531 -50 36
20231597 -50 38
4146010 -50 40
691050 -50 42
88950 -50 44
8052 -50 46
420 -50 48
8 -50 50
57 -48 -50
1713 -48 -48
26327 -48 -46
259478 -48 -44
1885628 -48 -42
10838911 -48 -40
51440531 -48 -38
207451418 -48 -36
725713227 -48 -34
2236814418 -48 -32
6151124487 -48 -30
15250353189 -48 -28
34395426219 -48 -26
71126307822 -48 -24
135788035290 -48 -22
240780091437 -48 -20
398652835283 -48 -18
619087878265 -48 -16
905266981854 -48 -14
1250515588170 -48 -12
1636348022013 -48 -10
2032916765860 -48 -8
2402217259046 -48 -6
2703726767343 -48 -4
2901359808357 -48 -2
2970202266922 -48 0
2901359808357 -48 2
2703726767343 -48 4
2402217259046 -48 6
2032916765860 -48 8
1636348022013 -48 10
1250515588170 -48 12
905266981854 -48 14
619087878265 -48 16
398652835283 -48 18
240780091437 -48 20
135788035290 -48 22
71126307822 -48 24
34395426219 -48 26
15250353189 -48 28
6151124487 -48 30
2236814418 -48 32
725713227 -48 34
207451418 -48 36
51440531 -48 38
10838911 -48 40
1885628 -48 42
259478 -48 44
26327 -48 46
1713 -48 48
57 -48 50
4 -46 -52
227 -46 -50
5784 -46 -48
76694 -46 -46
695026 -46 -44
4784000 -46 -42
26551064 -46 -40
123210759 -46 -38
490087627 -46 -36
1701655107 -46 -34
5229640706 -46 -32
14386555760 -46 -30
35764155838 -46 -28
81003321033 -46 -26
168372384470 -46 -24
323261182541 -46 -22
