#H	M_sred	M2_sred	Xi
3.36	54	2916	0
3.37	54	2916	0
3.38	54	2916	0
3.39	54	2916	0
3.4	54	2916	0
3.41	54	2916	0
3.42	54	2916	0
3.43	54	2916	0
3.44	54	2916	0
3.45	54	2916	0
3.46	54	2916	0
3.47	54	2916	0
3.48	54	2916	0
3.49	54	2916	0
3.5	54	2916	0
3.5	54	2916	0
3.51	54	2916	0
3.52	54	2916	0
3.53	54	2916	0
3.54	54	2916	0
3.55	54	2916	0
3.56	54	2916	0
3.57	54	2916	0
3.58	54	2916	0
3.59	54	2916	0
3.6	54	2916	0
3.61	54	2916	0
3.62	54	2916	0
3.63	54	2916	0
3.64	54	2916	0
3.65	54	2916	0
3.66	54	2916	0
3.67	54	2916	0
3.68	54	2916	0
3.69	54	2916	0
3.7	54	2916	0
3.71	54	2916	0
3.72	54	2916	0
3.73	54	2916	0
3.74	54	2916	0
3.75	54	2916	0
3.76	54	2916	0
3.77	54	2916	0
3.78	54	2916	0
3.79	54	2916	0
3.8	54	2916	0
3.81	54	2916	0
3.82	54	2916	0
3.83	54	2916	0
3.84	54	2916	0
3.85	54	2916	0
3.86	54	2916	0
3.87	54	2916	0
3.88	54	2916	0
3.89	54	2916	0
3.9	54	2916	0
3.91	54	2916	0
3.92	54	2916	0
3.93	54	2916	0
3.94	54	2916	0
3.95	54	2916	0
3.96	54	2916	0
3.97	54	2916	0
3.98	54	2916	0
3.99	54	2916	0
4	58.6667	3446.27	10.9592
4	58.6667	3446.27	10.9592
4.01	64	4096	0
4.02	64	4096	0
4.03	64	4096	0
4.04	64	4096	0
4.05	64	4096	0
4.06	64	4096	0
4.07	64	4096	0
4.08	64	4096	0
4.09	64	4096	0
4.1	64	4096	0
4.11	64	4096	0
4.12	64	4096	0
4.13	64	4096	0
4.14	64	4096	0
4.15	64	4096	0
4.16	64	4096	0
4.17	64	4096	0
4.18	64	4096	0
4.19	64	4096	0
4.2	64	4096	0
4.21	64	4096	0
4.22	64	4096	0
4.23	64	4096	0
4.24	64	4096	0
4.25	64	4096	0
4.26	64	4096	0
4.27	64	4096	0
4.28	64	4096	0
4.29	64	4096	0
4.3	64	4096	0
4.31	64	4096	0
4.32	64	4096	0
4.33	64	4096	0
4.34	64	4096	0
4.35	64	4096	0
4.36	64	4096	0
4.37	64	4096	0
4.38	64	4096	0
4.39	64	4096	0
4.4	64	4096	0
4.41	64	4096	0
4.42	64	4096	0
4.43	64	4096	0
4.44	64	4096	0
4.45	64	4096	0
4.46	64	4096	0
4.47	64	4096	0
4.48	64	4096	0
4.49	64	4096	0
4.5	64	4096	0
4.5	64	4096	0
4.51	64	4096	0
4.52	64	4096	0
4.53	64	4096	0
4.54	64	4096	0
4.55	64	4096	0
4.56	64	4096	0
4.57	64	4096	0
4.58	64	4096	0
4.59	64	4096	0
4.6	64	4096	0
4.61	64	4096	0
4.62	64	4096	0
4.63	64	4096	0
4.64	64	4096	0
4.65	64	4096	0
4.66	64	4096	0
4.67	64	4096	0
4.68	64	4096	0
4.69	64	4096	0
4.7	64	4096	0
4.71	64	4096	0
4.72	64	4096	0
4.73	64	4096	0
4.74	64	4096	0
4.75	64	4096	0
4.76	64	4096	0
4.77	64	4096	0
4.78	64	4096	0
4.79	64	4096	0
4.8	64	4096	0
4.81	64	4096	0
4.82	64	4096	0
4.83	64	4096	0
4.84	64	4096	0
4.85	64	4096	0
4.86	64	4096	0
4.87	64	4096	0
4.88	64	4096	0
4.89	64	4096	0
4.9	64	4096	0
4.91	64	4096	0
4.92	64	4096	0
4.93	64	4096	0
4.94	64	4096	0
4.95	64	4096	0
4.96	64	4096	0
4.97	64	4096	0
4.98	64	4096	0
4.99	64	4096	0
5	64	4096	0
